M,quantity,formula_value,solver_value,gd_value,rel_disc_solver,rel_disc_gd,bound_lower,bound_upper,within_bounds,note
1,T_m,6.023294415742646,6.023294415743045,,6.635576169420526e-14,,1.0829908738503142,10.472219489583217,OK,"(5.5); formula = quadrature int_0^a_M (1+e^Q_M) da, quad err=6.69e-14"
1,(5.5) lower bound Psi(m)/(M+1+2m^2),1.0829908738503142,,,,,,,,(5.5)
1,(5.5) upper bound Psi(m)/(M+1),10.472219489583217,,,,,,,,(5.5)
1,GD Richardson-extrapolated a(T_m),1.0269467087727866,,1.0269467087683561,,4.3142024451917244e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
1,GD Richardson-extrapolated v(T_m),1.5753125404351649,,1.575312540439811,,2.9492949457305314e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
1,GD Richardson-extrapolated b(T_m),1.2172138678360072,,1.2172138678341489,,1.5266760819290558e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
1,GD Richardson-extrapolated q(T_m),2.9444389791664403,,2.9444389791655183,,3.131086112403405e-13,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
1,invariant (5.3) v = cosh(sqrt(M) a): max rel err,0.0,4.623502292784977e-12,,4.623502292784977e-12,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
1,invariant (5.3) b = sqrt(M) sinh(sqrt(M) a): max rel err,0.0,9.253019397732331e-12,,9.253019397732331e-12,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
1,invariant (5.4) q = Q_M(a): max rel err,0.0,3.4950419020715623e-12,,3.4950419020715623e-12,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
1,max spread of beta_j at T_m (should be 0),0.0,0.0,0.0,0.0,0.0,,,,all M contextual readouts stay identical
1,qdot(T_m) = (1+b^2+M v^2) r  vs  (M+1+2b^2) r,0.24816096000522606,0.24816096000522767,,6.487013048597875e-15,,,,,(5.4) using b^2 = M(v^2-1)
1,b(T_m) v(T_m),1.9174922703936534,1.917492270393632,1.9174923252977727,1.123254941377485e-14,2.8633293650643316e-08,1.4722194895832201,2.9444389791664403,OK,(5.6) b v = m - a_M >= M m/(M+1)
1,m - a_M  (must equal b v),1.9174922703936537,1.917492270393632,,1.1348348892267372e-14,,,,,(5.6) identity q = a + bv = m
1,v(T_m) - 1,0.5753125404351649,0.5753125404351644,0.5753122442188299,7.719094902992289e-16,5.148789817655287e-07,0.0,4.334860451017354,OK,(5.7) 0 <= v-1 <= m^2/(2M)
1,||W(T_m) - W(0)||_2,1.1771168429010017,1.1771168429010206,1.1771173751467587,1.603391501230519e-14,4.521605142541812e-07,,4.578039466333057,OK,(5.7) <= sqrt(m^2/(M+1)^2 + m^4/(4M^2))
1,M * a_M  (-> m as M -> inf),1.0269467087727866,1.0269467087728084,,2.1189387040985766e-14,,,1.4722194895832201,OK,(5.6) limit claim; m = 2.944439
1,spectral-only comparator a needed for margin m,2.9444389791664403,,,,,,,,"(5.6) removing the contextual path gives q = a, so a = m exactly"
1,suppression factor m / a_M,2.867177969424606,2.867177969424545,,2.12195484194754e-14,,2.0,,OK,(5.6) at least M+1
1,shifted-margin Y F = 2 a_M - m,-0.8905455616208671,-0.8905455616208235,,4.886975404840013e-14,,,0.0,OK,"(e) negative for every M >= 1 => error 1 under S=Y, C=-Y"
1,"(5.8) max_t [ r(t) - (1/2)/(1+(M+1)t/4) ] on [0,T_m]",0.0,0.0,,0.0,,,1e-11,OK,<= 0 required; positive value = envelope violation
1,"(5.8) max_t [ r(t) - envelope ] on [0, 20 T_m]",0.0,0.0,,0.0,,,1e-11,OK,envelope is claimed for all t >= 0
1,lambda_theta(0),0.25,0.25,0.25,0.0,0.0,,,,"(5.9) explicit-Jacobian GGN block, top eigenvalue via eigvalsh; 'gd_value' column = torch autograd Hessian block (equal here because F is multilinear, so the diagonal Hessian blocks have no residual term)"
1,lambda_phi(0),0.25,0.25,0.25,0.0,0.0,,,,(5.9) explicit-Jacobian GGN block; 'gd_value' = torch autograd Hessian block
1,D_curv(0) = lambda_phi(0)/lambda_theta(0),1.0,1.0,1.0,0.0,0.0,,,,(5.9)
1,lambda_theta(0) closed form r(1-r)(1+b^2): |lam - 1/4|,0.0,0.0,,0.0,,,0.0,OK,"EXACT in IEEE double: r(1-r)=1/4, b=0"
1,lambda_phi(0) closed form M r(1-r) v^2: |lam - M/4|,0.0,0.0,,0.0,,,0.0,OK,"EXACT in IEEE double: r(1-r)=1/4, v=1"
1,lambda_theta(0) eigensolver deviation |lam - 1/4|,0.0,0.0,,0.0,,,1e-15,OK,eigvalsh roundoff only
1,lambda_phi(0) eigensolver deviation |lam - M/4|,0.0,0.0,,0.0,,,1e-12,OK,eigvalsh roundoff only
1,lambda_theta(T_m) = r(1-r)(1+b^2),0.11787645600248392,0.1178764560024824,,1.2950479770340417e-14,,,,,(c)
1,lambda_phi(T_m) = M r(1-r) v^2,0.1178764560024839,0.11787645600248386,,3.5319490282746595e-16,,,,,(c)
1,D_curv(T_m) = (M v^2)/(1+b^2),1.0,1.0000000000000124,,1.2434497875801753e-14,,,,,(c) curvature disparity at fit
1,||grad_theta L(T_m)|| = r sqrt(1+b^2),0.07876562702175825,0.07876562702175774,,6.5190638138041034e-15,,,0.15548087424209697,OK,(5.10) <= r sqrt(1+m^2)
1,"(5.10) max_t [ r sqrt(1+b^2) / (r sqrt(1+m^2)) ] on [0,T_m]",,0.5065936720880083,,,,,1.0,OK,ratio must stay <= 1
1,"max_t b(t) on [0,T_m]",1.2172138678360072,1.2172138678359938,,1.0945222238707534e-14,,,2.9444389791664403,OK,proof step: b <= m since bv = q-a <= m and v >= 1
1,frozen q_F(T_m),1.676497646814886,1.676497646814886,,0.0,,,,,(d) Psi(q_F(t)) = M t
1,frozen q_F(t): max rel err solver vs Psi^{-1}(Mt),0.0,4.2593762043895275e-15,,4.2593762043895275e-15,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
1,(5.11) min_t [ q(t) - q_F(t) ],,0.0,,,,0.0,,OK,lower half of (5.11): q >= q_F
1,(5.11) max_t [ q(t) - q_F(t) ],,1.2679413323515543,,,,,96.02732994432647,OK,(5.11) uniform bound (1+2m^2)Psi(m)/(2(M+1))
1,(5.11) max_t [ (q - q_F) - (1+2m^2)t/2 ],0.0,0.0,,0.0,,,1e-11,OK,pointwise bound; must be <= 0
1,(5.11) uniform bound value,96.02732994432647,,,,,,,,(1+2m^2)Psi(m)/(2(M+1)); RMS logit gap is O(1/M)
1,(5.11) gap x (M+1)  [O(1/M) diagnostic],,2.5358826647031085,,,,,,,should stay bounded in M
1,control (1/sqrt(M) readout): a(T_m),1.0269467087727866,1.0269467087728084,,2.1189387040985766e-14,,,,,(4) must equal the M=1 value for every M
1,control: v(T_m),1.5753125404351649,1.5753125404351644,,2.8190546221855583e-16,,,,,(4) must equal the M=1 value
1,control: b(T_m),1.2172138678360072,1.2172138678359938,,1.0945222238707534e-14,,,,,(4) must equal the M=1 value
1,control: T_m,6.023294415742646,6.023294415743045,,6.635576169420526e-14,,,,,(4) must equal the M=1 fitting time
1,control: ||W(T_m)-W(0)||,1.1771168429010017,1.1771168429010206,,1.603391501230519e-14,,,,,(4) no suppression: displacement is M-independent
1,B_m = sqrt((1+m^2)/2),2.1988316104279915,,,,,,,,operator-norm cap on ||J_theta|| with symmetric logits
1,max_t ||J_theta||_op = sqrt((1+b^2)/2),1.1139141798299124,1.113914179829905,,6.5781297116128746e-15,,,2.1988316104279915,OK,normalized (symmetric-logit) Jacobian norm <= B_m
1,(5.12) bound  4 B_m/(M+1) log(1/(sqrt2 delta)),11.650107707645413,,,,,1.1771168429010017,,OK,must dominate the exact displacement
1,(5.12) bound / displacement,9.897154881357189,9.89715488135703,,1.5973859215280135e-14,,,,,see note-table comparison rows
16,GD raw |q(T_m) - m| at N=1000 (h=9.078e-04),0.0,0.0010532810366297163,,0.0010532810366297163,,,,,explicit-Euler discretization error; must fall ~10x per row
16,GD raw |q(T_m) - m| at N=10000 (h=9.078e-05),0.0,0.00010530182974832769,,0.00010530182974832769,,,,,explicit-Euler discretization error; must fall ~10x per row
16,GD raw |q(T_m) - m| at N=100000 (h=9.078e-06),0.0,1.0529920366320056e-05,,1.0529920366320056e-05,,,,,explicit-Euler discretization error; must fall ~10x per row
16,GD raw |q(T_m) - m| at N=1000000 (h=9.078e-07),0.0,1.0529889409305326e-06,,1.0529889409305326e-06,,,,,explicit-Euler discretization error; must fall ~10x per row
16,GD observed convergence order (finest pair),1.0,1.0000012767884245,,1.2767884245423744e-06,,,,,log10 of the error ratio for a 10x step reduction; 1.0 = first order
16,"GD: torch-autograd vs numpy analytic-grad (max rel over a,v,b,q)",0.0,3.9000880132165364e-16,,3.9000880132165364e-16,,,,,N=10000; independent gradient path through the literal 2-site model
16,a(T_m),0.14232454833452704,0.14232454833451744,0.1423246335754638,6.747556395144991e-14,5.989194257142155e-07,,0.17320229289214353,OK,(5.6) 0 < a_M <= m/(M+1)
16,v(T_m),1.1664744863610423,1.166474486361085,1.1664744039145138,3.6548218280027224e-14,7.068009584196677e-08,,,,(5.3) v = cosh(sqrt(M) a)
16,b(T_m),2.402208075354864,2.4022080753547845,2.4022090747781832,3.3091208617063e-14,4.160436098221442e-07,,,,(5.3) b = sqrt(M) sinh(sqrt(M) a)
16,q(T_m),2.9444389791664403,2.94443897916644,2.944440032155381,1.5082303046259176e-16,3.5761954938819277e-07,,,,(5.4) q = Q_M(a); target margin m
16,r(T_m),0.05,0.050000000000000024,0.04999994998304901,4.163336342344337e-16,1.0003390198132234e-06,,,,r = 1/(1+e^q) = delta at q = m
16,T_m,0.907839679048124,0.9078396790480172,,1.1764572251449088e-13,,0.6099236877136541,1.232025822303908,OK,"(5.5); formula = quadrature int_0^a_M (1+e^Q_M) da, quad err=1.01e-14"
16,(5.5) lower bound Psi(m)/(M+1+2m^2),0.6099236877136541,,,,,,,,(5.5)
16,(5.5) upper bound Psi(m)/(M+1),1.232025822303908,,,,,,,,(5.5)
16,GD Richardson-extrapolated a(T_m),0.14232454833452704,,0.14232454833384212,,4.812411825520028e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
16,GD Richardson-extrapolated v(T_m),1.1664744863610423,,1.1664744863634073,,2.0274743380238017e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
16,GD Richardson-extrapolated b(T_m),2.402208075354864,,2.402208075346925,,3.3048689186996387e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
16,GD Richardson-extrapolated q(T_m),2.9444389791664403,,2.944438979163001,,1.1681243709327733e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
16,invariant (5.3) v = cosh(sqrt(M) a): max rel err,0.0,1.875406538460767e-12,,1.875406538460767e-12,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
16,invariant (5.3) b = sqrt(M) sinh(sqrt(M) a): max rel err,0.0,2.3478988507813597e-11,,2.3478988507813597e-11,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
16,invariant (5.4) q = Q_M(a): max rel err,0.0,2.037075563293591e-11,,2.037075563293591e-11,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
16,max spread of beta_j at T_m (should be 0),0.0,0.0,0.0,0.0,0.0,,,,all M contextual readouts stay identical
16,qdot(T_m) = (1+b^2+M v^2) r  vs  (M+1+2b^2) r,1.4270603637299744,1.427060363730073,,6.908453706122869e-14,,,,,(5.4) using b^2 = M(v^2-1)
16,b(T_m) v(T_m),2.8021144308319132,2.8021144308319226,2.802115398579917,3.328155804144864e-15,3.45363484555349e-07,2.7712366862742965,2.9444389791664403,OK,(5.6) b v = m - a_M >= M m/(M+1)
16,m - a_M  (must equal b v),2.8021144308319132,2.8021144308319226,,3.328155804144864e-15,,,,,(5.6) identity q = a + bv = m
16,v(T_m) - 1,0.16647448636104234,0.16647448636108497,0.16647440391451385,2.560906783826708e-13,4.952502350083912e-07,0.0,0.27092877818858463,OK,(5.7) 0 <= v-1 <= m^2/(2M)
16,||W(T_m) - W(0)||_2,0.2190206192754463,0.21902061927547245,0.21902061200052095,1.193757570242317e-13,3.3215709920998625e-08,,0.32156093841425326,OK,(5.7) <= sqrt(m^2/(M+1)^2 + m^4/(4M^2))
16,M * a_M  (-> m as M -> inf),2.2771927733524326,2.277192773352279,,6.747556395144991e-14,,,2.7712366862742965,OK,(5.6) limit claim; m = 2.944439
16,spectral-only comparator a needed for margin m,2.9444389791664403,,,,,,,,"(5.6) removing the contextual path gives q = a, so a = m exactly"
16,suppression factor m / a_M,20.688201814950975,20.68820181495237,,6.74885371023197e-14,,17.0,,OK,(5.6) at least M+1
16,shifted-margin Y F = 2 a_M - m,-2.6597898824973862,-2.6597898824974053,,7.179452839193006e-15,,,0.0,OK,"(e) negative for every M >= 1 => error 1 under S=Y, C=-Y"
16,"(5.8) max_t [ r(t) - (1/2)/(1+(M+1)t/4) ] on [0,T_m]",0.0,0.0,,0.0,,,1e-11,OK,<= 0 required; positive value = envelope violation
16,"(5.8) max_t [ r(t) - envelope ] on [0, 20 T_m]",0.0,0.0,,0.0,,,1e-11,OK,envelope is claimed for all t >= 0
16,lambda_theta(0),0.25,0.25,0.25,0.0,0.0,,,,"(5.9) explicit-Jacobian GGN block, top eigenvalue via eigvalsh; 'gd_value' column = torch autograd Hessian block (equal here because F is multilinear, so the diagonal Hessian blocks have no residual term)"
16,lambda_phi(0),4.0,4.0,4.0,0.0,0.0,,,,(5.9) explicit-Jacobian GGN block; 'gd_value' = torch autograd Hessian block
16,D_curv(0) = lambda_phi(0)/lambda_theta(0),16.0,16.0,16.0,0.0,0.0,,,,(5.9)
16,lambda_theta(0) closed form r(1-r)(1+b^2): |lam - 1/4|,0.0,0.0,,0.0,,,0.0,OK,"EXACT in IEEE double: r(1-r)=1/4, b=0"
16,lambda_phi(0) closed form M r(1-r) v^2: |lam - M/4|,0.0,0.0,,0.0,,,0.0,OK,"EXACT in IEEE double: r(1-r)=1/4, v=1"
16,lambda_theta(0) eigensolver deviation |lam - 1/4|,0.0,0.0,,0.0,,,1e-15,OK,eigvalsh roundoff only
16,lambda_phi(0) eigensolver deviation |lam - M/4|,0.0,0.0,,0.0,,,1.6e-11,OK,eigvalsh roundoff only
16,lambda_theta(T_m) = r(1-r)(1+b^2),0.32160367277175567,0.32160367277173774,,5.575216754574005e-14,,,,,(c)
16,lambda_phi(T_m) = M r(1-r) v^2,1.0341036727717556,1.0341036727718314,,7.322013476316872e-14,,,,,(c)
16,D_curv(T_m) = (M v^2)/(1+b^2),3.2154597733890498,3.2154597733894645,,1.2899533853063472e-13,,,,,(c) curvature disparity at fit
16,||grad_theta L(T_m)|| = r sqrt(1+b^2),0.13010191809981242,0.1301019180998088,,2.773383269617576e-14,,,0.15548087424209697,OK,(5.10) <= r sqrt(1+m^2)
16,"(5.10) max_t [ r sqrt(1+b^2) / (r sqrt(1+m^2)) ] on [0,T_m]",,0.836771202464613,,,,,1.0,OK,ratio must stay <= 1
16,"max_t b(t) on [0,T_m]",2.402208075354864,2.4022080753547845,,3.3091208617063e-14,,,2.9444389791664403,OK,proof step: b <= m since bv = q-a <= m and v >= 1
16,frozen q_F(T_m),2.562123188832368,2.562123188832369,,3.46657187902387e-16,,,,,(d) Psi(q_F(t)) = M t
16,frozen q_F(t): max rel err solver vs Psi^{-1}(Mt),0.0,3.8135205940199117e-13,,3.8135205940199117e-13,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
16,(5.11) min_t [ q(t) - q_F(t) ],,0.0,,,,0.0,,OK,lower half of (5.11): q >= q_F
16,(5.11) max_t [ q(t) - q_F(t) ],,0.3823157903340717,,,,,11.297332934626644,OK,(5.11) uniform bound (1+2m^2)Psi(m)/(2(M+1))
16,(5.11) max_t [ (q - q_F) - (1+2m^2)t/2 ],0.0,0.0,,0.0,,,1e-11,OK,pointwise bound; must be <= 0
16,(5.11) uniform bound value,11.297332934626644,,,,,,,,(1+2m^2)Psi(m)/(2(M+1)); RMS logit gap is O(1/M)
16,(5.11) gap x (M+1)  [O(1/M) diagnostic],,6.499368435679219,,,,,,,should stay bounded in M
16,control (1/sqrt(M) readout): a(T_m),1.0269467087727866,1.0269467087728026,,1.5567712928071175e-14,,,,,(4) must equal the M=1 value for every M
16,control: v(T_m),1.5753125404351649,1.5753125404351653,,2.8190546221855583e-16,,,,,(4) must equal the M=1 value
16,control: b(T_m),1.2172138678360072,1.2172138678359965,,8.756177790966027e-15,,,,,(4) must equal the M=1 value
16,control: T_m,6.023294415742646,6.023294415742967,,5.3379523851782905e-14,,,,,(4) must equal the M=1 fitting time
16,control: ||W(T_m)-W(0)||,1.1771168429010017,1.177116842901016,,1.2072594832794496e-14,,,,,(4) no suppression: displacement is M-independent
16,B_m = sqrt((1+m^2)/2),2.1988316104279915,,,,,,,,operator-norm cap on ||J_theta|| with symmetric logits
16,max_t ||J_theta||_op = sqrt((1+b^2)/2),1.8399189706750838,1.8399189706750319,,2.8239524881573063e-14,,,2.1988316104279915,OK,normalized (symmetric-logit) Jacobian norm <= B_m
16,(5.12) bound  4 B_m/(M+1) log(1/(sqrt2 delta)),1.3706009067818132,,,,,0.2190206192754463,,OK,must dominate the exact displacement
16,(5.12) bound / displacement,6.257862439235039,6.257862439234292,,1.1936313049717875e-13,,,,,see note-table comparison rows
64,GD raw |q(T_m) - m| at N=1000 (h=2.868e-04),0.0,0.0011355725667914207,,0.0011355725667914207,,,,,explicit-Euler discretization error; must fall ~10x per row
64,GD raw |q(T_m) - m| at N=10000 (h=2.868e-05),0.0,0.00011350505595641991,,0.00011350505595641991,,,,,explicit-Euler discretization error; must fall ~10x per row
64,GD raw |q(T_m) - m| at N=100000 (h=2.868e-06),0.0,1.1349984281761039e-05,,1.1349984281761039e-05,,,,,explicit-Euler discretization error; must fall ~10x per row
64,GD raw |q(T_m) - m| at N=1000000 (h=2.868e-07),0.0,1.134993560913955e-06,,1.134993560913955e-06,,,,,explicit-Euler discretization error; must fall ~10x per row
64,GD observed convergence order (finest pair),1.0,1.0000018624075357,,1.862407535746513e-06,,,,,log10 of the error ratio for a 10x step reduction; 1.0 = first order
64,"GD: torch-autograd vs numpy analytic-grad (max rel over a,v,b,q)",0.0,3.0163443323194057e-16,,3.0163443323194057e-16,,,,,N=10000; independent gradient path through the literal 2-site model
64,a(T_m),0.042093855104203395,0.04209385510420281,0.0420938755999248,1.3846845020141751e-14,4.869053061080132e-07,,0.04529906121794523,OK,(5.6) 0 < a_M <= m/(M+1)
64,v(T_m),1.057238419616226,1.057238419616233,1.0572383836939896,6.510719460208999e-15,3.397742254935714e-08,,,,(5.3) v = cosh(sqrt(M) a)
64,b(T_m),2.745213444963321,2.7452134449633023,2.745214592398057,6.794279274685629e-15,4.1797651043139455e-07,,,,(5.3) b = sqrt(M) sinh(sqrt(M) a)
64,q(T_m),2.9444389791664403,2.9444389791664394,2.944440114160001,3.016460609251835e-16,3.8547022673747765e-07,,,,(5.4) q = Q_M(a); target margin m
64,r(T_m),0.05,0.05000000000000005,0.049999946087833404,9.71445146547012e-16,1.0782433319811435e-06,,,,r = 1/(1+e^q) = delta at q = m
64,T_m,0.28679651512691984,0.28679651512690557,,4.974386059091331e-14,,0.2543670265460958,0.3222221381410221,OK,"(5.5); formula = quadrature int_0^a_M (1+e^Q_M) da, quad err=3.18e-15"
64,(5.5) lower bound Psi(m)/(M+1+2m^2),0.2543670265460958,,,,,,,,(5.5)
64,(5.5) upper bound Psi(m)/(M+1),0.3222221381410221,,,,,,,,(5.5)
64,GD Richardson-extrapolated a(T_m),0.042093855104203395,,0.04209385510403662,,3.962010953084607e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
64,GD Richardson-extrapolated v(T_m),1.057238419616226,,1.0572384196175402,,1.2429173472747372e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
64,GD Richardson-extrapolated b(T_m),2.745213444963321,,2.7452134449545604,,3.1912082678981765e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
64,GD Richardson-extrapolated q(T_m),2.9444389791664403,,2.944438979161032,,1.8367228649734424e-12,,,,first-order Richardson from the two finest step sizes; removes the leading O(h) Euler error and should match the closed form
64,invariant (5.3) v = cosh(sqrt(M) a): max rel err,0.0,3.268982180507253e-13,,3.268982180507253e-13,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
64,invariant (5.3) b = sqrt(M) sinh(sqrt(M) a): max rel err,0.0,7.541263809368641e-13,,7.541263809368641e-13,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
64,invariant (5.4) q = Q_M(a): max rel err,0.0,6.729979855521207e-13,,6.729979855521207e-13,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
64,max spread of beta_j at T_m (should be 0),0.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,0.0,,,,all M contextual readouts stay identical
64,qdot(T_m) = (1+b^2+M v^2) r  vs  (M+1+2b^2) r,4.003619685840732,4.003619685840784,,1.2866943512340535e-14,,,,,(5.4) using b^2 = M(v^2-1)
64,b(T_m) v(T_m),2.9023451240622373,2.9023451240622364,2.9023462385600762,3.060209526208914e-16,3.8399907359935106e-07,2.899139917948495,2.9444389791664403,OK,(5.6) b v = m - a_M >= M m/(M+1)
64,m - a_M  (must equal b v),2.902345124062237,2.9023451240622364,,1.5301047631044574e-16,,,,,(5.6) identity q = a + bv = m
64,v(T_m) - 1,0.05723841961622611,0.057238419616232994,0.05723838369398959,1.2025808537041873e-13,6.275895938351822e-07,0.0,0.06773219454714616,OK,(5.7) 0 <= v-1 <= m^2/(2M)
64,||W(T_m) - W(0)||_2,0.07105018872386511,0.07105018872387031,0.07105017192746488,7.324639837560893e-14,2.364019087166821e-07,,0.08148407896883664,OK,(5.7) <= sqrt(m^2/(M+1)^2 + m^4/(4M^2))
64,M * a_M  (-> m as M -> inf),2.6940067266690173,2.69400672666898,,1.3846845020141751e-14,,,2.899139917948495,OK,(5.6) limit claim; m = 2.944439
64,spectral-only comparator a needed for margin m,2.9444389791664403,,,,,,,,"(5.6) removing the contextual path gives q = a, so a = m exactly"
64,suppression factor m / a_M,69.94937792885631,69.94937792885727,,1.3814820792496162e-14,,65.0,,OK,(5.6) at least M+1
64,shifted-margin Y F = 2 a_M - m,-2.8602512689580335,-2.860251268958035,,4.657869201944353e-16,,,0.0,OK,"(e) negative for every M >= 1 => error 1 under S=Y, C=-Y"
64,"(5.8) max_t [ r(t) - (1/2)/(1+(M+1)t/4) ] on [0,T_m]",0.0,0.0,,0.0,,,1e-11,OK,<= 0 required; positive value = envelope violation
64,"(5.8) max_t [ r(t) - envelope ] on [0, 20 T_m]",0.0,0.0,,0.0,,,1e-11,OK,envelope is claimed for all t >= 0
64,lambda_theta(0),0.25,0.25,0.25,0.0,0.0,,,,"(5.9) explicit-Jacobian GGN block, top eigenvalue via eigvalsh; 'gd_value' column = torch autograd Hessian block (equal here because F is multilinear, so the diagonal Hessian blocks have no residual term)"
64,lambda_phi(0),16.0,16.000000000000004,16.000000000000004,2.220446049250313e-16,2.220446049250313e-16,,,,(5.9) explicit-Jacobian GGN block; 'gd_value' = torch autograd Hessian block
64,D_curv(0) = lambda_phi(0)/lambda_theta(0),64.0,64.00000000000001,64.00000000000001,2.220446049250313e-16,2.220446049250313e-16,,,,(5.9)
64,lambda_theta(0) closed form r(1-r)(1+b^2): |lam - 1/4|,0.0,0.0,,0.0,,,0.0,OK,"EXACT in IEEE double: r(1-r)=1/4, b=0"
64,lambda_phi(0) closed form M r(1-r) v^2: |lam - M/4|,0.0,0.0,,0.0,,,0.0,OK,"EXACT in IEEE double: r(1-r)=1/4, v=1"
64,lambda_theta(0) eigensolver deviation |lam - 1/4|,0.0,0.0,,0.0,,,1e-15,OK,eigvalsh roundoff only
64,lambda_phi(0) eigensolver deviation |lam - M/4|,0.0,3.552713678800501e-15,,3.552713678800501e-15,,,6.4e-11,OK,eigvalsh roundoff only
64,lambda_theta(T_m) = r(1-r)(1+b^2),0.40546935077435076,0.4054693507743463,,1.0952472955155723e-14,,,,,(c)
64,lambda_phi(T_m) = M r(1-r) v^2,3.3979693507743507,3.3979693507743955,,1.3199945486452059e-14,,,,,(c)
64,D_curv(T_m) = (M v^2)/(1+b^2),8.380335885523852,8.380335885524056,,2.437623495305275e-14,,,,,(c) curvature disparity at fit
64,||grad_theta L(T_m)|| = r sqrt(1+b^2),0.14608385313243372,0.146083853132433,,4.9399365537828304e-15,,,0.15548087424209697,OK,(5.10) <= r sqrt(1+m^2)
64,"(5.10) max_t [ r sqrt(1+b^2) / (r sqrt(1+m^2)) ] on [0,T_m]",,0.9395615624399426,,,,,1.0,OK,ratio must stay <= 1
64,"max_t b(t) on [0,T_m]",2.745213444963321,2.7452134449633023,,6.794279274685629e-15,,,2.9444389791664403,OK,proof step: b <= m since bv = q-a <= m and v >= 1
64,frozen q_F(T_m),2.8063058062645685,2.80630580626457,,4.747407166304336e-16,,,,,(d) Psi(q_F(t)) = M t
64,frozen q_F(t): max rel err solver vs Psi^{-1}(Mt),0.0,3.1921306286819085e-12,,3.1921306286819085e-12,,,1e-08,OK,"checked at 4001 points on [0,T_m]"
